label,probability,truth,input
3,0.989078,3,the lt company countries year reuter they owned year an company of on reuter they of on 1987 trade of on reuter meeting trade vs pct dlrs
16,0.99884,16,the into one per 5 usda of chief in has would of we review one of 3 99 of a in purchase of second chairman of of of mln that mining net of in holders loss of of last mln purchase of of 5 1986 of of per between 60 3 however oil of of however it being level a in transaction rate said after u sources 4 vs treasury april announced these 3 in of 38 oil west of association sources vs these net week for open close of of mln in 60 however although u of 3 per oil a of said she its interest record economy said 9 sources 000 april consumer january of main against 7 17 38 said in economic of of said loans of 87 oil of a not of of association interest of north net mln of place of cts because were vs these pct dlrs
3,0.989233,3,the lt they corp year reuter company corp year an they of on reuter company of on some home an they of on 000 reuter company of on 000 planned we now it our effective from of on 000 reuter billion of on 000 3 an of from of on 000 reuter dlrs of on 000 pct dlrs
3,0.976743,3,the major lt company today year reuter company from demand 000 major an company of on reuter company dlrs of on may product from vs reuter banking billion vs some an position effective its then of of report said dlrs of on 000 reuter 4 of on 000 pct dlrs
3,0.998783,3,the of of profit mln well its report a in public 3 british rate march 1986 will of and in 15 3 third of shr oil largest between said of it market of 95 it in 16 avg gain of growth in this domestic an div efforts of and of on 000 7 banking year for 0 loss may international additional is and production were vs 000 in this shr of corn of owned two mln 1 traders and will seen and of currently of its in 15 corp of between said of 60 said order of of pct dlrs
1,0.665309,1,the of of of their he tokyo average and future other of on been a but 18 march of its of on have 2 between said of of a while discount reduced seven chairman of of mln net week of by a in of of in of 5 will agreement total is markets that in subsidiary a in early continued 2 in of 5 will of and of agreement 500 vs of of on been said of are 2 net of of six by of u of prices not of present was so of and of in of said of of pct dlrs
3,0.983678,3,the of proposed economic year reuter sources year 19 debt than economic ltd than corp pct dlrs
19,0.999269,19,the in of of of of in of scheduled earlier we in has would offer cts of in of by in months mths as of of we while who problems of of for market agriculture said co february of months 3 who iranian spokesman mln in spokesman of of in of said of be in government said today of 4 non help week operating in mths of said in weeks corp should or two of for of market into about of shr cts of prices market about of 3 of about surplus available by in market mths of or firm of in expected has would about of common for expected who sector cut of and in of said pretax a 90 of 1986 deal a nil said of there of in development exchange market bought of lead stg in has would expected president amount soon 3 capacity and yen markets in marks said in offer u for of inc last 1 cts in of of 3 of said in while mths of shr of of in line of a shr in of lead of loss not of said comment of last 1986 of december of in spokesman mln in spokesman mln by four in of note of 62 in offer u firm that at year's markets in note of of 1 that at year's 49 cut american of a impact of payment of as of in of of of bank and of with in of of operations was west 3 by u canadian reported of net mln that if dlr exchange in offer of we in lower with of 1985 lower that development production in range reported of 1 u of currency f chief of 8 said expected low 3 of shares of 9 wheat of 4 of acquire in offer of as sales markets markets markets receive in of cts west financial of which lower in of of current it delegates 3 in name of canada in crude of in who problems or of currently prices we in lower in called of stg co current 3 about of of 1 of and just shr cts of shr last of in about of stg in of against cts of a but months years 3 13 was in cut day of be financial total is a offer nil today is a lower are pre expected for because s end about credit have dollar months 13 and in cut of can said said may and in has would we 9 for public a talks should about was in has would a but international owned is it 13 3 all is it years a offer nil last investment economic is it 13 3 plans is it years a lower nil in of of it pretax cts by months need bank for of tax a of and pretax de of most 75 of until a lower nil shr cts action cts of and goods of of said in has would 1 cts pretax by cts of in of of mln payment of in cut cts of cut securities two share for of 2 a months may last are increased will of of sale and at extraordinary its for key l operations was rose expected has would about in months economists cut need or west quarter of other has would need for of shr cts of in co february of 3 shr he of deposits are mths of stg expected 3 in cut cts of in of of said in cut 87 last of months 70 march overall interest first of of mln of of england said in 15 there banks of discontinued said in japan full january of dutch of of of his usair showed for of of a fiscal about of have 2 told move it of a 13 3 are 2 told march bank and issue including 67 net mln pct dlrs
20,0.989548,20,the of terms full of 8 of current a not of and mark of 44 japanese 3 of rules common 55 was in who sector cut for full official mln in of u of increase a in industry during of 1 of senior force 3 of of that current west pipeline and 16 is that 800 said prices and of off in three two of for of of and inc is its economic is in of said rose sugar shr japanese 51 of with of current and 45 of said corn tax no better showed in of said current and plc a for production is 33 a until are 2 declined said during it in output of payment of of week operating a for talks of in estimates a computer of of 5 of effective its in february of pct dlrs
4,0.999968,4,the 6 of of profit of for of further by 1 as house for finance a of 45 profit 3 cts of does for natural cost it in this and will for of for this official mln loss revised loss his of of 3 in this cts of stock or of 3 of 1986 of that of official of of week operating a return and for of rates in caused by as sales excludes period of cts by of of of cts of a does not ended by of tokyo acquisition that by produced or of rates of said of net mln of mln of four move quota in further u department for of last mln in this u 1986 of and 36 wheat of of export 3 i of of u period said of 3 of it 36 of of have 2 officials not of of vs has would end cost it of of 3 as of for of vs has would end 55 said european and will making it not ec ended of mln in this as sales of was 90 has would of central last 5 1986 change quota of 45 u inc said goods of 10 international increasing are like that in further shr mln of of share of was has would concern of of and based for finance a in this 3 and credits does for despite 20 of of shr domestic loan they said meeting from vs so 000 have 2 that may said of 4 vs 000 as of mln 1 he of that of common in has would in this as mln 1 each and of common market large 3 shares reduced a director and of at of report pct dlrs
2,0.458642,2,the of cts of and units at of same said today vs been said one of a of after one of of week operating same a after cts under and of financial which 4 vs been equity its but between said of funds 34 said of 3 of of stock mln in of oil move it interest of and not one into of further by of one of same cts yesterday and 33 increasing are 2 of one west of with financial expect of for 92 7 9 of of future other friday one last of 51 gold quarter of one and of for 10 of by over of in when for iran of week operating in shipments of one bid west rose no 27 on been we 9 signed on have than in of mln in of showed of one per and of baker are 2 sale and pacific its coffee ec 3 has would friday same in record coffee ec of of unemployment friday cts yesterday and will financial dlr had vs been we in early plans had vs 92 adjusted stock mln a director market has would friday of or two under and of in shares financial unchanged four of of one same of stock mln market of said of cts two yesterday and of was no total on of under and will of was market of we before on a but real in of said are estimates he 1986 will of it 9 producers against should pct dlrs
3,0.987292,3,the of of profit mln at british rate now it in federal gain than growth he will gas other in from of on 000 7 shareholders year for 0 domestic a in 2 unit rate that may said meeting trade vs 000 in this of in gas now and of they of that of of of two mln 1 cts press at of of per be 16 is cents price 1985 pct dlrs
3,0.987957,3,the use proposed joint year reuter joint year debt price foreign ltd price which pct dlrs
20,0.995638,20,the of 8 intervention 6 of gains mln 1 cts of at l taiwan february and revs 4 is its meeting is cents force in estimates of of of its in against group drop of japanese includes of 8 intervention 6 of gains member in year's are like more in 8 said bank's of at of current a for of by 1 5 of for can of less estimates in december power of of of at of exporters have 30 and of shares of its of markets l current reported in has committee much that than any pct dlrs
35,0.732126,35,the began declined of of mln more in of said for increasing gas dollar iran of base by for of a 13 cts allow in of of it in output west 5 will for of a an 13 net mln a for capital more in time domestic in base investment from new is a dollar its only in of 33 currency for from had is average a what of in negotiations of it in dollar proposal more for billion dlrs is only earlier oil of a of of market of it 42 3 95 3 it used 3 non 70 pct dlrs
11,0.998806,11,the 25 cts office of crop 13 and in compared analysts he earlier a after last of record about of states plc a quarter about a of 70 a secretary for crop of mln of of start of with of statement up not of it crop about of 3 45 week for has would of securities board in crop part of response of by work help dutch last of continue of in of said 70 3 of natural of was japan need he of of companies texas a secretary of mln in crop part of 27 vs 000 court said 70 and in compared analysts a but 3 of from 4 s 000 court net pre 50 about levels it after last net mln by saudi january rates of oil of rose about stg in corp 87 5 usda stg corp 3 against s 000 for 2 in of of of bank of in of and of at statement was in has would net mln pct dlrs
1,0.962315,1,the for rose said billion of been said drop low of national oil 75 with beef sell it in hit shares period said of it dlrs of been in hit of of of of mln first east oil 1986 domestic 50 of oil of it low of pct dlrs
3,0.90547,4,the of of of 6 of area i of of 5 will of a reached of intervention 6 of gains of of discontinued january 1 oil it united for official mln in official of and of 3 drop working of mln net of and will of oil in government and 20 in of of said of it united last net as 1986 own of for of of as net sales reached tonnes net u security be in of of securities 3 terms loss holdings net 5 will of january 1 of that in shares 3 by net share in might said corp there japanese january net issues 22 for reserve payments will of a in of of net of by january of until oil of and will a in of said costs vs of in of first 5 1986 will such other signed vs of for of said of of now 5 will in of of it in of discontinued a in record of holders net mln are 5 of not of of institute that in of last 1986 of net six in certain 5 of reached in of far of 3 of of between 1 over department will 75 loss not of most january 1 u workers and will 75 with rates of mln pct dlrs
19,0.950017,11,the payable banks copper of of there of loss of of said for of 33 a at about credit there very fell mln with for board are 30 a approved 49 three spokesman its while help or of not of it banks of 3 gulf of of further by of for taking good months about credit stock mln of months 13 bank tons quarter of was in of scheduled earlier we in offer stock likely of and of four exports of prices conference and in of loss for of in of of as of expected and of at companies of output of take however 3 years be of for quarter of budget commission stock mln by of of of officials too with of of said in there very of measures world in very fell mln payable commission u of four in world of and credits in shipments output month in set of 1 of was expects said at 38 in compared analysts shr soviet too as sales of and of payable budget of of a in of net mln in of of as two of of that in months going levels said dlrs 4 is banks exports a in budget 2 of price from stake of of continue in of continuing by exports a of after he will monetary against is very fell mln in terms full as sales of of and 22 of between 1 cts firm month of take pacific and filing not output of chemical be in of earlier in of of as of owns may 3 until a in of ec shares impact cts two of and of cash of by for wheat lower earlier payments will allow and yen at about credit shr have 2 of and for ltd of s 000 expected of of for wheat earlier said in lower japan chairman of of mln too in lower government's qtly increase with of august and in offer stake months of continue terms chairman of of or of of in lower he of three spokesman mln with for board a approved have five soon another capacity expected in compared analysts 3 president amount imports and of and 47 problems with financial record already spokesman mln by of of for of of of in note he 47 in lower of it for response avg reported 1 of baker a in 2 expected of in approved of and of for such marks it in offer of be of in of talks it record 14 in compared analysts of 1 and quarter of less and in of of already west of be 34 said in of led stock mln a in avg iran prices in if dividend note in offer of no revs lower in spokesman two of and of of a in shares by talks has would acquire and of in offer its areas association from 18 eight of and for of and of lower of it in has would mths expected as two of of of shr 1 of issue 1986 higher above said in of recently a in months output by he will of be in largest lower spokesman mln 25 or firm of said by quarter 3 quarter central bank long each and say their of of and higher of said of days of stock mln pct dlrs
28,0.72029,28,the in seven full mln 1 agriculture payable undisclosed news administration it in 16 avg its price from with of on been prices its again on a in third can said but 18 3 received on for 2 11 month not note was in has would 3 senate expected as sales press years be also on been for 2 its than growth exchange and of for of of on been a in 2 and than growth 200 pct dlrs
13,0.951799,13,the of of of plan change stock bank officials of of of 3 of of 13 increase previously debt outstanding a of payment of was of chairman of of part spokesman mln of of of of for 49 industry said in includes of of part week operating net u of in outstanding 5 special and not 31 said in of shr proposals have range of reserves on of or research for debt earlier said of is in part industry mln in become share of for rose said of of continue total a of negotiations head of 3 9 total quarter a of payment of of 16 of of of a in of of of capacity 3 coffee of net mln banks business mln in become u said of paper and in three shr as firm share and of tax split that management said of japan next here for of of a in shipments about although in offers said in includes of of of of of of u security a beef of of of loss holdings by january in become main japan of over will of and of of 13 target cts of deficit for of with in of 3 1 cts 1986 of by 13 will chemical net mln last saudi of japan of told 51 1986 of by told or workers and of japan co of of of of 3 rates are deficit in of said in of of of mln for official it in head said of shr as sales in of said of of 3 of a talks avg mln of said of period said in head u of with 9 can at of subsidiary said all of for announced net mln for rose said reflect of oil of of with of that of a in of pct dlrs
4,0.999622,4,the 6 of products mln 1 of and nations of of up that of nil final tender in this mln 1 as savings had of 000 april 0 it rates of of tonnes of products mln 1 of and reserve in 6 of up our and of of it economic vs 000 states at cost will of of products cts of be 6 of profit of up field restructuring trade is said of of pct dlrs
3,0.996747,3,the lt of year reuter ct year an because feet on reuter economic before on 1987 of 4 vs reuter of from vs 2 lt billion ahead 000 reuter from received 000 an august expect on reuter additional before on 1987 of dlrs vs reuter of dlrs vs some 19 2 now related for against it corp 10 strong of a march but pct dlrs
25,0.865043,25,the of of agreements could said market bought each not september said all on of it make of with of 000 not of special life of of of of mln expects of of with of of losses of vice and nations today of of said of make a in federal its price foreign after and what growth of of that of in of of of of of said in of resources u sale price because 3 for of that in of of u producer in of four of 5 will of a record monday acquisition that in marks said make that in of heavy in cocoa of for of said 9 of 000 not of and in record make first for of of industry mln by that in noted said in of said 17 should 3 against avg in of of not of of said make said did 4 is reported in of oil a in out operations was of of said foreign is it in of make of 3 dealers is it in of make of talks past was of said sources 3 did avg pct dlrs
4,0.970357,3,the 6 of of up too of its in still said in of up was ec of up for most said 6 of of mln of of of bond said of of 26 world as sales of i 3 start measures of said of of in sharply this two mln 1 of of of of of export said ec of strike i 14 of of of government strike export said of as sales of export 3 start loan of of of mln of of two of for government strike export said of as sales of 49 measures strike export said in market this 3 of of of measures strike export 3 start american of said ec of as sales of measures strike export 3 start american of in this two mln in of of of of report he of of loss of of profit for of half most of of said plant of of of sugar pct dlrs
19,0.738907,19,the for short time official of 36 that of be of of of said banks of it in began time by in months lower u of of 49 of with in began time week not companies news 8 close in lower cts likely for office of of 3 over equipment prices producers revs 7 1985 is move it of for short official mln spokesman oil of said of of last share 50 of said does cash 36 that goods of plan of net u of of of mln net of in has would offer u of of we stake who problems 3 six his issue 1986 of in offer loss of with are less we in lower net mln last in lower states equipment prices revs 7 1985 is a marks of mln between 1 cts of we in offer in compared analysts 3 while about of president amount capacity soon expected 3 another of too a approved and of of venture a there mths of pct dlrs
3,0.979268,3,the lt they paid year reuter they countries year an they from of on reuter they of on 1987 because were vs reuter meeting dlrs vs rise down lt company of year reuter company of year an company billion of on reuter company billion of on 1987 industrial from vs reuter dlr from vs some rise avg budget after trading given 40 said because year april 0 pct dlrs
21,0.979738,21,the of interests services line tomorrow take large of international from from is a in british rate said but more areas new billion is a in public rate in near of mln are of was for from from is average a in british rate said exchange operations was in 2 11 rate of two international from from is in of surplus available in set earlier of was for new dlrs is average a in public rate operations was in exchange public rate 3 for which dlrs is earlier a in 2 11 federal in of surplus available line grain those tomorrow large international new also is a in british rate more of exports a in public rate 3 for from dlrs is average for 2 11 does not set earlier said new trade is tomorrow those large international which dlrs is operations was of said billion were is a in public rate 3 billion trade is for 2 11 does set exports said were were is of a in british rate of earlier mine of said new were is 3 new billion is a asked 3 three transaction supplies of local in of surplus available tomorrow computer products of investment new from is a in rate 14 13 said 70 3 32 international economic new is 3 years billion also is interests services of that of with economy of costs per international and paid manager s 000 a in british rate its paid dealers s a day in public rate 3 in 2 11 rate in surplus or must and of agreement for system federal pct dlrs
23,0.204582,23,the of of could mln 1 each and of in have of of 55 with at of of of of 42 was in of said are dividend expect of 92 april 2 55 of mln 1 he will loan with before is said at of of of figure said of on been april 2 of mln 150 he of that in of of a in season secretary 3 1 cts under by of of their he of that development inc in this mln in extraordinary prices u of be taking largest however it of 3 of of of 3 by in of cts allow and 60 of of of white pct dlrs
3,0.998934,3,the lt company 1985 year reuter company from put 000 an company shareholders dlrs vs reuter company of were vs 1987 of had vs reuter of were vs 2 lt they all year reuter company from growth 000 an they because from vs reuter company of also vs 1987 billion stability s reuter dlrs industrial s shrs earnings of had vs reuter of from vs pct dlrs
3,0.999793,3,the lt today's year reuter restructuring year an distribution of on reuter directors of on of of were vs reuter of had vs some now inflation more 12 40 said private which vs 000 7 foreign year for 0 of more 12 40 said growth which vs 000 7 point year for 0 it but 15 rate now april 0 of for total is 10 state a in of said for of shareholder oper 10 shipping that prior foreign but pct dlrs
1,0.992411,1,the 500 while has would those of of in of of said of for natural capital of of of 1986 and of was of those of here of was petroleum seven york i of payment of of of of 3 case seven york i of of of of in of past for capital holdings of states of exporters and of in 1985 five of of shr cts loan a at 15 adjusted continued 2 in those of mine in ec those of of ec friday import includes of import includes bpd of import includes cuts back includes of 80 back 3 in has would liquidity 80 of government in capital mln soybean states 1986 of in exchange those possible including in of payments bank at of included said does seven quarter of a companies money 14 with in crude pay of those div told of continuing ec currencies west balance of 3 of a those rules a get and bank cash of said does of their 3 continued of in of mln pct dlrs
20,0.555681,8,the short of with in 100 k investment that than 4 and dlrs of s 000 its dlrs of s 000 in early securities announced in short mln a at buffer much capital of a 12 3 our some of investment and countries of s 000 its countries of s 000 that in crude of off in of loan agreed although of any of s 000 that than 4 operations was sources of s 000 that than which pct dlrs
3,0.993768,3,the lt growth year reuter demand year an meeting also vs reuter revs also vs 1987 of billion vs reuter of new vs pct dlrs
3,0.99463,3,the lt dealers year reuter did year an from of on reuter from of on may owned billion vs reuter did trade vs 2 lt of year reuter from reserves 000 an which of on reuter were of on may of trade vs reuter of new vs some 19 2 an trading 40 of on 000 its then report a 2 3 company of on a rate 3 40 of on 000 a 2 its of said then pct dlrs
19,0.996275,40,the who mths money of of and in of had of was of its better 3 reuters of its of by 1 u 1986 quarter of and of by in money states bank under including canada in offer of gas we of rates problems 3 of a for of daily more in of shr of might it in approved later that mths of last of 50 of and of 1 reuters a of 3 of of in offer of of of a at record statement daily in offer cts yesterday and of 88 for daily said from costs and from of eight mln of of 49 of with of 8 of of mln 25 u no of and wheat of general of mln in offer over of period said in daily was while of 22 loss for of other under has would of about policy sale around of of of of was 8 of of 3 could added a of mln net traders in offer and 47 of we in name 3 of of last and of wheat we in lower of and of lower for of of of of of holdings net traders for offer lower daily said of without a in german assets far previous mln in of had of of and of of of of in offer last are of of u 1986 receive largest repurchase and of of of and of in of paper by terms give 3 spokesman likely a october over september quarter of of a of said mths of of of of of was of 9 of of december 8 low a in season assets in previous mln stake approved reuters of of with in of holdings of as of and of in of of of previous a germany of mln in shares 5 of it of of and of in of said december japanese and of record of shr in of mln oil of of was banks of 3 in of commission of of with in of board of of 49 of with of 8 a far mln of workers and own of of and in of small in has would if about 65 march bills in of reuters mln general no reuters mln far acquisition of 5 will of and basis while of around 30 australia said in system of of stock of season assets of might with from of eight 3 of lower 3 of 9 from again eight 3 of lower of power of 3 group of reuters mln in of had of of for of of 3 of shares it in of secretary operations was in of of falling a in 15 response avg said are 2 inc of with for 29 8 mln in of said in of officials of in iran help fall 1986 dutch for wheat offer 33 3 are u of in offer in 29 of of in offer of of and from 18 eight of falling loss at of of 88 in of of of mths executive daily for of 8 of mln net of in money oil of it for federal said unemployment of of last of reuters oil of 9 in of of and of venture of as of of and selling in offer for of filing mln inc of 14 producers of of mln net traders in offer and about stg from consumption 3 from 18 29 eight a in around against avg for of very of plan move 1986 and will of mln in of share sales a 55 was of of 3 states 1986 bank seasonally of in gatt cts by in recently allow a budget 3 about copper and of record of or said for of of other mths money of that in of week operating are cts for immediately of shr of pay of of start of with of 8 up a of two of in of said of of that mths money increase fall produced of showed for of of net move 8 takeover a approved many of board u department in 15 a for of 3 mln in shares 5 of of a in around response prime it cash recently a of for 49 of was of of mln in of u west that about 3 exports of other tax current cash say be expected 3 president amount and filing interest banks exports over special and for of support a in has would 600 reuters a rates of imports by money 5 will of a of in offer letter revised letter of a in of avg 14 december japanese of of and 34 interest of and might in approved later pct dlrs
3,0.997442,3,the lt countries year reuter 500 year an of on reuter of on 1987 were of on reuter which of on shrs earnings billion of remain reuter from of profits rise down lt private year reuter production year an of on reuter of on 1987 all new vs reuter trade of on shrs earnings billion of effect reuter from of of pct dlrs
19,0.962678,40,the who mths money of of and in of had of was of its better 3 reuters of its of by 1 u 1986 quarter of and of by in money states bank under including canada in offer of gas we of rates problems 3 of a for of daily more in of shr of might it in approved later that mths of last of 50 of and of 1 of 3 of reuters of in offer of of of a at record statement daily pct dlrs
3,0.891991,4,the debt of of dollars profit mln 1 holding for of and inc said in corp energy 73 ending and based in this debt of of mln by in include its for of of below share sales of and nine in state february that in of index 10 and will holding be of buy its economic 4 is and any 4 is loss of long in include of it for council a shr of buy 5 boost for of said any total 000 a agreed 3 billion total 000 a of marks said of index 10 it expects oper 0 month in group include holding its of of of buy 5 boost that for of noted because manager 000 a agreed 3 dlrs francs 000 a of marks said of of index 10 it expects oper 0 in this mln month in of include in state february that in index 10 5 will agriculture including by a in natural of said in american of and of 3 in american of and debt of of in index 10 5 about with at of marks that for of of noted in this mln pct dlrs
19,0.591306,11,the has would tax february according oil gas a of held of for of offer of next according of officials tender be back said banks of of of by in has would as 50 executive marks it in offer main and included in shares previous mln in shares of acquire be terms give said in of 4 help plan or and units increase of cash acquire by 5 of in offer prior short of oil under and usda monetary of of with of because point previous mln of might u of with of owned point that for announced statement noted 3 with of dlrs point that for of assets noted with of of of of of of its markets because point and meeting point less of australian investment revs point and meeting point 3 of of oil markets also point less of of november oil dlrs and 4 noted of gas 3 of investment which and had noted of pct dlrs
4,0.8125,4,the includes of could mln in 500 of of of of a of of 3 of of by 1 long each and based range or under and of set may said 9 dlrs signed on 000 1986 in union vs 000 in this of long in this mln 1 he of in of and of of reporters of cts under financial than growth pct dlrs
4,0.993652,4,the has would of of up mln 1 approval of 15 includes of profit its 15 includes of up it 9 revs vs 7 for of tax said has would of of tonnes of and in council of of 3 of of of its has would of world 3 oil of be 17 38 said 15 includes pct dlrs
4,0.999845,4,the of 8 mln 1 41 not note and nations 6 of american partners profit for of acquisition this shr of 3 of term disclosed 95 nil said in ended oil 1986 73 1 mln of as sugar said production vs 000 pct dlrs
3,0.724937,11,the of japan about chairman of of of that of a in of working mln for scheduled although said split policy a march over 1986 will of and talks of of in reserve said japan since of u of and of by have of place dlrs of s of policy shr of was of billion of s credit over will of and for march economic of of of grain tax of 800 that japan since sharp in policy increased will date of and of 3 of japan about split 3 of of 3 of of other products of and of due of mln a for capital 11 increase in of of of of of be in 8 said of shr long in policy it march 3 mln 1 share sales of revenue be grain contract products of a of 1 of by 25 as sales for of of said products and japan since 7 of of fiscal of mln in of last in of six by 1 u likely 1986 following and change insurance revised in say and of japan since reserve 800 share of of although said split pct dlrs
3,0.995935,3,the lt issued year reuter did year an from also vs reuter signed on 1987 any were vs reuter all trade vs pct dlrs
23,0.279317,23,the of of could mln 1 each and of in have of of with at of of of of 42 was in of said are dividend expect 92 for 2 their 55 of mln 1 he will loan with before is said at of of of figure said of on been april 2 of mln 150 that in of he of a in season secretary 3 1 cts under by of of their he of development from in this mln in extraordinary prices u of be taking largest however it of 3 of of of 3 by in of cts allow and 60 of of of white pct dlrs
3,0.998643,3,the lt company production year reuter they did year an company of of reuter they of of 1987 which of of reuter 4 of of some now april 0 of of it rates of and related production is 10 state a price of 3 dlr is 10 strong development exchange several inflation of of that system assets few 1986 of and of 3 related in of of said they loss several acquisition that of said of said system assets few pct dlrs
19,0.982311,19,the payable terms chairman of of mln by of be has would short declined declared service that of by no help oil 1986 of be in of said in of later oil offered of with of by note in note and of a of problems u 400 a approved a if are 2 in terms chairman officials in of with for open close shr of for like of board pct dlrs
3,0.987922,3,the of 45 profit mln at world subject for corp it inc 10 strong a in of said for buying 10 state said at income oper 10 in buying state cts think march demand after and of said ltd price did after in strong he will of be inc whether 0 it expects oper 0 previously in this mln pct dlrs
30,0.37799,30,the of non their international from 4 is a price more for billion billion is average a than 3 for earlier said dlrs trade is a price but conference and of surplus its in december of said near in of mln in price earlier of a stake said in barrel was in of of a in war through 3 of 45 pct dlrs
3,0.997328,3,the lt meeting year reuter rise year an of of reuter of of 1987 were of of reuter 4 of of 2 lt of year reuter production year an which of of reuter of of 1987 dealers 4 vs reuter countries from vs shrs earnings 4 of of reuter which of of pct dlrs
16,0.429631,16,the not of of be for of of deficit for drop loans of one of of inc of for of official mln in of u of and inc 42 with in expect of of with of dlr of president said of in of 3 of said in of share receive and will of corp produced oil of a for early of 3 of with in 42 that than economic by of cts likely supply of in official mln pct dlrs
3,0.994464,3,the lt owned year reuter any year an from of on reuter from of on may standard were vs reuter august were vs shrs earnings had of on reuter were of on 2 lt directors year reuter directors year an which of on reuter which of on may of trade vs reuter of which vs shrs earnings 71 of on reuter were of on pct dlrs
3,0.983031,3,the lt 500 year reuter dealers year an profits on reuter of on 1987 had of on reuter from of on all down lt product year reuter consumption year an of on reuter from of on 1987 dealers vs reuter demand were vs some exchange 2 trading given 40 said revs year april 0 pct dlrs
11,0.999226,19,the in 96 petroleum banks commission back issues and of about of we expected it of said in has would months of note when fell mln stock 5 selling 50 east of by in 96 petroleum share 1986 of that in washington in firms as sales month pacific and of 25 u 50 of of that in of washington last has would spokesman mln 1 u yesterday in 49 commission of say that of of 99 ec of agreement of of months about of has would spokesman mln export fourth 5 tokyo mainly that in of a for announced 7 including more of was of that in japan commission of said of in spokesman mln fourth payments of of it for have of and of expected and of be in note 400 have what of about a of month for lead 400 have what expected u and of of of a into money 3 and basis at china shares and has would officials of a closed in has would imports and 47 prices of of of of that months of manufacturing in compared analysts mln by of as of a in has would shares last as main a public 87 3 by in months shares of government's in pacific that fourth and of mine for of of be in case have 30 and of of that months term disclosed through of of for of it of two of its in of when 3 its at start about part has would spokesman mln in stake yesterday say we expected 5 of of that of acquisition 70 22 loss of of of of 3 of pct dlrs
3,0.580552,3,the lt company from 250 000 reuter company because year an company billion of on reuter company of on 1987 owned new vs reuter countries were vs 2 lt company from ahead 000 reuter they 500 year an company billion of on reuter they of on 1987 consumption dlrs vs reuter do trade vs some trading company said from from vs 000 7 account year lt its of of 3 industries of pct dlrs
4,0.978109,4,the 6 of profit mln at world he of and buy in despite 20 officials be of partners added of cts respectively and co inc of 0 it expects corp tonnes said of in this mln of he september 9 dlrs had vs tonnes it rates of tonnes of past 3 income whether of said of he will past january of 3 information said of or of pct dlrs
3,0.99705,3,the lt 68 year reuter 1986 excludes an were of on reuter revs had vs rise down lt from manager 000 reuter 1986 excludes an production from vs reuter owned new vs some this of corn a unchanged but but an day of trading 4 of on end home 40 that united said of an trading since 3 our may company completed on 000 home reuter 40 worth on 000 a rate 3 texas from of on 000 reuter billion of on 000 a rise down 3 our of of of on 000 reuter foreign on 000 a rate 3 of on 000 reuter completed on 000 a rise down pct dlrs
4,0.999945,4,the of there profit shr as imports and for of was for of of 15 of profit of a for certain court 27 of 000 mln buy said at index 10 bank of for of acquire of we in this in of of 44 group of by in this 3 at world imports and debt 15 of not of 500 vs end of of january 1 holding for such 20 it in this 19 and in of in of of by are of of of of and of group able 7 higher group of by 5 of vice said index 10 in of two of 100 since of of 3 of said of of in of of not of we of was in of 20 supply officials be of ended and nations of of ended up 3 of food up oil of be 15 of 3 of of mln 1 3 in of of of and of of in of of in of oil of be of of 3 group of plan or of and china 9 of on tonnes said of index 10 pct dlrs
9,0.889195,9,the in of said there 21 of of outstanding that companies north tender of in of balance and of has would rules of in of m and of 21 years business qtly mln in fourth firms value a about rules savings soybean have five by of and of 21 years will of by of of a development but for possible two u of be of of of of area of general in of said in of outstanding a far and of note that companies north of in has would rules cts 1986 notes allow inc accord mln 11 of said in 21 possible of 1 over will of be soybean of of workers and bank for of pay of soybean west are cts not of september in 21 accord mln pct dlrs
3,0.997346,3,the of of of of profit mln at of he of for buying shipping said total year april 0 sale and in united said for of of 15 of that of of his a of of it which of of 000 1 mln 1 holding for dlrs of of end closed said products 3 of of 000 a div that in united 3 in total consumers shipping 5 of for exploration of consumers closed said of 3 for were of consumers products 40 3 5 will think prior foreign and vice said ltd march growth pct dlrs
0,0.994559,0,the of said meet of 87 with not there meet of of back board qtly bank of of and for of of that hold 10 of significant mln 14 keep issue 1986 receive bank for oper 600 not of mln more for used board stock or canada quarter of 3 in of cts of who sector keep oil strong that in of said insurance in meet hold 10 states will of four in of of a dollar and own in market there meet note common senior significant mln with in dollar board capacity of was 80 that insurance in hold 10 states of significant mln by board gain ministers note that market hold 10 of in cut minister of a of that range and just quota in all cut meet of help over of interest of with are of board in of of of its in range board was not of note and of and of said of 44 80 that in producing hold 10 yet significant mln in producing yet and will of with are back of shr of of 38 or quota grain bond meet states will of it hold 10 sharp 3 action first of in hold 10 states debt it of of said meet significant mln for used of mln 80 3 keep states will seen and of that in grain bond meet of for consider government of significant its rates discount 3 of bond 87 of of are like f of prices common for taken board 3 not cut board of be for used board 80 plan or a of said in hold 10 reached for of said of said meet 3 of grain bond meet supply of of interest 600 australia said in consider government board are of told or of and just action keep change for taken of mln told of stock he will of 7 1 he will of and of in of of francs bond 87 grain 38 inflation in has would for used 3 of not of of taken pct dlrs
